"id","numero_dossier","numero_individu","date_debut","date_fin"
136,"D20251024000049","20251024006965","2019-03-18","2021-08-04"
137,"D20251024000049","20251024001839","2019-03-18","2021-08-04"
138,"D20251024000050","20251024006630","2021-08-05","2024-11-17"
139,"D20251024000050","20251024006965","2021-08-05","2024-11-17"
140,"D20251024000050","20251024001839","2021-08-05","2024-11-17"
141,"D20251024000051","20251024006630","2024-11-18",NULL
142,"D20251024000051","20251024006965","2024-11-18",NULL
143,"D20251024000051","20251024001839","2024-11-18","2025-10-24"
144,"D20251024000052","20251024008458","2020-09-16","2024-03-29"
145,"D20251024000052","20251024001681","2020-09-16","2024-03-29"
146,"D20251024000053","20251024008458","2024-03-30",NULL
147,"D20251024000053","20251024001681","2024-03-30","2025-10-24"
148,"D20251024000054","20251024004831","2017-05-14","2020-08-26"
149,"D20251024000054","20251024008500","2017-05-14","2020-08-26"
150,"D20251024000055","20251024004831","2020-08-27","2025-01-03"
151,"D20251024000055","20251024008500","2020-08-27","2025-01-03"
152,"D20251024000056","20251024004831","2025-01-04",NULL
153,"D20251024000056","20251024008500","2025-01-04",NULL
154,"D20251024000057","20251024007269","2010-01-01","2013-02-14"
155,"D20251024000057","20251024008544","2010-01-01","2013-02-14"
156,"D20251024000057","20251024006696","2010-01-01","2013-02-14"
157,"D20251024000057","20251024002994","2010-01-01","2013-02-14"
158,"D20251024000058","20251024007269","2013-02-15","2016-01-01"
159,"D20251024000058","20251024008544","2013-02-15","2016-01-01"
160,"D20251024000058","20251024006696","2013-02-15","2016-01-01"
161,"D20251024000058","20251024002994","2013-02-15","2016-01-01"
162,"D20251024000059","20251024007269","2016-01-02","2019-03-17"
163,"D20251024000059","20251024008544","2016-01-02","2019-03-17"
164,"D20251024000059","20251024006696","2016-01-02","2019-03-17"
165,"D20251024000059","20251024002994","2016-01-02","2019-03-17"
166,"D20251024000060","20251024007269","2019-03-18","2020-12-07"
167,"D20251024000060","20251024008544","2019-03-18","2020-12-07"
168,"D20251024000060","20251024006696","2019-03-18","2020-12-07"
169,"D20251024000060","20251024002994","2019-03-18","2020-12-07"
170,"D20251024000061","20251024007269","2020-12-08","2025-06-15"
171,"D20251024000061","20251024008544","2020-12-08","2025-06-15"
172,"D20251024000061","20251024006696","2020-12-08","2025-06-15"
173,"D20251024000061","20251024002994","2020-12-08","2025-06-15"
174,"D20251024000062","20251024007269","2025-06-16",NULL
175,"D20251024000062","20251024008544","2025-06-16",NULL
176,"D20251024000062","20251024006696","2025-06-16",NULL
177,"D20251024000062","20251024002994","2025-06-16",NULL
178,"D20251024000063","20251024001883","2010-01-01","2013-09-12"
179,"D20251024000063","20251024009546","2010-01-01","2013-09-12"
180,"D20251024000064","20251024001883","2013-09-13","2015-03-07"
181,"D20251024000064","20251024009546","2013-09-13","2015-03-07"
182,"D20251024000065","20251024001883","2015-03-08","2018-05-21"
183,"D20251024000065","20251024009546","2015-03-08","2018-05-21"
184,"D20251024000066","20251024001883","2018-05-22","2022-03-02"
185,"D20251024000066","20251024009546","2018-05-22","2022-03-02"
186,"D20251024000067","20251024001883","2022-03-03","2024-01-22"
187,"D20251024000067","20251024009546","2022-03-03","2024-01-22"
188,"D20251024000068","20251024001883","2024-01-23",NULL
189,"D20251024000068","20251024009546","2024-01-23","2025-10-24"
190,"D20251024000069","20251024007402","2010-01-01","2012-07-19"
191,"D20251024000069","20251024000945","2010-01-01","2012-07-19"
192,"D20251024000069","20251024004753","2010-01-01","2012-07-19"
193,"D20251024000070","20251024007402","2012-07-20","2016-10-27"
194,"D20251024000070","20251024000945","2012-07-20","2016-10-27"
195,"D20251024000070","20251024004753","2012-07-20","2016-10-27"
196,"D20251024000071","20251024007402","2016-10-28","2021-02-04"
197,"D20251024000071","20251024000945","2016-10-28","2021-02-04"
198,"D20251024000071","20251024004753","2016-10-28","2021-02-04"
199,"D20251024000072","20251024007402","2021-02-05","2022-03-02"
200,"D20251024000072","20251024000945","2021-02-05","2022-03-02"
201,"D20251024000072","20251024004753","2021-02-05","2022-03-02"
202,"D20251024000073","20251024007402","2022-03-03","2024-04-21"
203,"D20251024000073","20251024000945","2022-03-03","2024-04-21"
204,"D20251024000073","20251024004753","2022-03-03","2024-04-21"
205,"D20251024000074","20251024007402","2024-04-22","2025-10-24"
206,"D20251024000074","20251024000945","2024-04-22","2025-10-24"
207,"D20251024000074","20251024004753","2024-04-22",NULL
208,"D20251024000075","20251024005491","2010-01-01","2011-12-22"
209,"D20251024000075","20251024006025","2010-01-01","2011-12-22"
210,"D20251024000075","20251024003512","2010-01-01","2011-12-22"
211,"D20251024000076","20251024005491","2011-12-23","2013-08-14"
212,"D20251024000076","20251024006025","2011-12-23","2013-08-14"
213,"D20251024000076","20251024003512","2011-12-23","2013-08-14"
214,"D20251024000077","20251024005491","2013-08-15","2017-04-26"
215,"D20251024000077","20251024006025","2013-08-15","2017-04-26"
216,"D20251024000077","20251024003512","2013-08-15","2017-04-26"
217,"D20251024000078","20251024005491","2017-04-27","2019-06-16"
218,"D20251024000078","20251024006025","2017-04-27","2019-06-16"
219,"D20251024000078","20251024003512","2017-04-27","2019-06-16"
220,"D20251024000079","20251024005491","2019-06-17","2021-08-05"
221,"D20251024000079","20251024006025","2019-06-17","2021-08-05"
222,"D20251024000079","20251024003512","2019-06-17","2021-08-05"
223,"D20251024000080","20251024005491","2021-08-06","2025-02-16"
224,"D20251024000080","20251024006025","2021-08-06","2025-02-16"
225,"D20251024000080","20251024003512","2021-08-06","2025-02-16"
226,"D20251024000081","20251024005491","2025-02-17",NULL
227,"D20251024000081","20251024006025","2025-02-17",NULL
228,"D20251024000081","20251024003512","2025-02-17",NULL
229,"D20251024000082","20251024009037","2010-01-01","2011-04-26"
230,"D20251024000082","20251024002533","2010-01-01","2011-04-26"
231,"D20251024000082","20251024005886","2010-01-01","2011-04-26"
232,"D20251024000083","20251024009037","2011-04-27","2012-11-17"
233,"D20251024000083","20251024002533","2011-04-27","2012-11-17"
234,"D20251024000083","20251024005886","2011-04-27","2012-11-17"
235,"D20251024000084","20251024009037","2012-11-18","2014-04-12"
236,"D20251024000084","20251024002533","2012-11-18","2014-04-12"
237,"D20251024000084","20251024005886","2012-11-18","2014-04-12"
238,"D20251024000085","20251024009037","2014-04-13","2018-07-21"
239,"D20251024000085","20251024002533","2014-04-13","2018-07-21"
240,"D20251024000085","20251024005886","2014-04-13","2018-07-21"
241,"D20251024000086","20251024009037","2018-07-22","2019-10-15"
242,"D20251024000086","20251024002533","2018-07-22","2019-10-15"
243,"D20251024000086","20251024005886","2018-07-22","2019-10-15"
244,"D20251024000087","20251024009037","2019-10-16","2023-01-28"
245,"D20251024000087","20251024002533","2019-10-16","2023-01-28"
246,"D20251024000087","20251024005886","2019-10-16","2023-01-28"
247,"D20251024000088","20251024009037","2023-01-29","2025-10-24"
248,"D20251024000088","20251024002533","2023-01-29","2025-10-24"
249,"D20251024000088","20251024005886","2023-01-29",NULL
250,"D20251024000089","20251024002229","2010-01-01","2013-05-15"
251,"D20251024000090","20251024002229","2013-05-16","2017-07-24"
252,"D20251024000091","20251024002229","2017-07-25","2021-02-04"
253,"D20251024000092","20251024002229","2021-02-05","2025-06-14"
254,"D20251024000093","20251024002229","2025-06-15",NULL
255,"D20251024000094","20251024001776","2010-01-01","2011-04-26"
256,"D20251024000094","20251024006218","2010-01-01","2011-04-26"
257,"D20251024000095","20251024001776","2011-04-27","2012-11-17"
258,"D20251024000095","20251024006218","2011-04-27","2012-11-17"
259,"D20251024000096","20251024001776","2012-11-18","2015-02-06"
260,"D20251024000096","20251024006218","2012-11-18","2015-02-06"
261,"D20251024000097","20251024001776","2015-02-07","2018-05-22"
262,"D20251024000097","20251024006218","2015-02-07","2018-05-22"
263,"D20251024000098","20251024001776","2018-05-23","2021-09-04"
264,"D20251024000098","20251024006218","2018-05-23","2021-09-04"
265,"D20251024000099","20251024001776","2021-09-05","2024-12-18"
266,"D20251024000099","20251024006218","2021-09-05","2024-12-18"
267,"D20251024000100","20251024001776","2024-12-19",NULL
268,"D20251024000100","20251024006218","2024-12-19",NULL
269,"D20251024000101","20251024005450","2010-06-19","2014-05-29"
270,"D20251024000101","20251024001660","2010-06-19","2014-05-29"
271,"D20251024000101","20251024004523","2010-06-19","2014-05-29"
272,"D20251024000102","20251024005450","2014-05-30","2018-06-08"
273,"D20251024000102","20251024001660","2014-05-30","2018-06-08"
274,"D20251024000102","20251024004523","2014-05-30","2018-06-08"
275,"D20251024000103","20251024005450","2018-06-09","2021-06-23"
276,"D20251024000103","20251024001660","2018-06-09","2021-06-23"
277,"D20251024000103","20251024004523","2018-06-09","2021-06-23"
278,"D20251024000104","20251024005450","2021-06-24","2025-07-03"
279,"D20251024000104","20251024001660","2021-06-24","2025-07-03"
280,"D20251024000104","20251024004523","2021-06-24","2025-07-03"
281,"D20251024000105","20251024005450","2025-07-04",NULL
282,"D20251024000105","20251024001660","2025-07-04",NULL
283,"D20251024000105","20251024004523","2025-07-04",NULL
284,"D20251024000106","20251024004467","2010-01-01","2013-03-16"
285,"D20251024000107","20251024004467","2013-03-17","2016-11-26"
286,"D20251024000108","20251024004467","2016-11-27","2018-05-21"
287,"D20251024000109","20251024004467","2018-05-22","2022-04-01"
288,"D20251024000110","20251024004467","2022-04-02","2025-10-24"
289,"D20251024000111","20251024005568","2010-01-01","2011-12-22"
290,"D20251024000112","20251024005568","2011-12-23","2014-02-10"
291,"D20251024000113","20251024005568","2014-02-11","2016-03-02"
292,"D20251024000114","20251024005568","2016-03-03","2018-07-21"
293,"D20251024000115","20251024005568","2018-07-22","2021-02-06"
294,"D20251024000116","20251024005568","2021-02-07","2023-04-28"
295,"D20251024000117","20251024005568","2023-04-29",NULL
296,"D20251024000118","20251024005717","2017-12-05","2020-10-20"
297,"D20251024000118","20251024006211","2017-12-05","2020-10-20"
298,"D20251024000118","20251024002364","2017-12-05","2020-10-20"
299,"D20251024000118","20251024004137","2017-12-05","2020-10-20"
300,"D20251024000119","20251024005717","2020-10-21","2025-03-29"
301,"D20251024000119","20251024006211","2020-10-21","2025-03-29"
302,"D20251024000119","20251024002364","2020-10-21","2025-03-29"
303,"D20251024000119","20251024004137","2020-10-21","2025-03-29"
304,"D20251024000120","20251024005717","2025-03-30","2025-10-24"
305,"D20251024000120","20251024006211","2025-03-30",NULL
306,"D20251024000120","20251024002364","2025-03-30",NULL
307,"D20251024000120","20251024004137","2025-03-30",NULL
308,"D20251024000121","20251024006580","2010-01-01","2013-06-14"
309,"D20251024000121","20251024002194","2010-01-01","2013-06-14"
310,"D20251024000121","20251024003013","2010-01-01","2013-06-14"
311,"D20251024000122","20251024006580","2013-06-15","2016-01-31"
312,"D20251024000122","20251024002194","2013-06-15","2016-01-31"
313,"D20251024000122","20251024003013","2013-06-15","2016-01-31"
314,"D20251024000123","20251024006580","2016-02-01","2018-02-20"
315,"D20251024000123","20251024002194","2016-02-01","2018-02-20"
316,"D20251024000123","20251024003013","2016-02-01","2018-02-20"
317,"D20251024000124","20251024006580","2018-02-21","2022-05-01"
318,"D20251024000124","20251024002194","2018-02-21","2022-05-01"
319,"D20251024000124","20251024003013","2018-02-21","2022-05-01"
320,"D20251024000125","20251024006580","2022-05-02","2024-07-20"
321,"D20251024000125","20251024002194","2022-05-02","2024-07-20"
322,"D20251024000125","20251024003013","2022-05-02","2024-07-20"
323,"D20251024000126","20251024006580","2024-07-21",NULL
324,"D20251024000126","20251024002194","2024-07-21",NULL
325,"D20251024000126","20251024003013","2024-07-21",NULL
326,"D20251024000127","20251024006995","2010-01-01","2014-10-07"
327,"D20251024000128","20251024006995","2014-10-08","2017-10-22"
328,"D20251024000129","20251024006995","2017-10-23","2019-02-15"
329,"D20251024000130","20251024006995","2019-02-16","2023-11-22"
330,"D20251024000131","20251024006995","2023-11-23",NULL
331,"D20251024000132","20251024005463","2010-01-01","2012-06-19"
332,"D20251024000133","20251024005463","2012-06-20","2015-01-06"
333,"D20251024000134","20251024005463","2015-01-07","2016-12-27"
334,"D20251024000135","20251024005463","2016-12-28","2019-11-13"
335,"D20251024000136","20251024005463","2019-11-14","2023-07-26"
336,"D20251024000137","20251024005463","2023-07-27","2024-08-20"
337,"D20251024000138","20251024005463","2024-08-21",NULL
338,"D20251024000139","20251024007915","2010-01-01","2012-11-16"
339,"D20251024000139","20251024006320","2010-01-01","2012-11-16"
340,"D20251024000139","20251024004384","2010-01-01","2012-11-16"
341,"D20251024000139","20251024009280","2010-01-01","2012-11-16"
342,"D20251024000140","20251024007915","2012-11-17","2017-01-25"
343,"D20251024000140","20251024006320","2012-11-17","2017-01-25"
344,"D20251024000140","20251024004384","2012-11-17","2017-01-25"
345,"D20251024000140","20251024009280","2012-11-17","2017-01-25"
346,"D20251024000141","20251024007915","2017-01-26","2018-06-20"
347,"D20251024000141","20251024006320","2017-01-26","2018-06-20"
348,"D20251024000141","20251024004384","2017-01-26","2018-06-20"
349,"D20251024000141","20251024009280","2017-01-26","2018-06-20"
350,"D20251024000142","20251024007915","2018-06-21","2023-02-25"
351,"D20251024000142","20251024006320","2018-06-21","2023-02-25"
352,"D20251024000142","20251024004384","2018-06-21","2023-02-25"
353,"D20251024000142","20251024009280","2018-06-21","2023-02-25"
354,"D20251024000143","20251024007915","2023-02-26","2024-03-22"
355,"D20251024000143","20251024006320","2023-02-26","2024-03-22"
356,"D20251024000143","20251024004384","2023-02-26","2024-03-22"
357,"D20251024000143","20251024009280","2023-02-26","2024-03-22"
358,"D20251024000144","20251024007915","2024-03-23",NULL
359,"D20251024000144","20251024006320","2024-03-23",NULL
360,"D20251024000144","20251024004384","2024-03-23",NULL
361,"D20251024000144","20251024009280","2024-03-23",NULL
362,"D20251024000145","20251024007292","2010-01-01","2014-08-08"
363,"D20251024000146","20251024007292","2014-08-09","2019-02-14"
364,"D20251024000147","20251024007292","2019-02-15","2022-01-30"
365,"D20251024000148","20251024007292","2022-01-31","2024-01-21"
366,"D20251024000149","20251024007292","2024-01-22","2025-08-14"
367,"D20251024000150","20251024007292","2025-08-15",NULL
368,"D20251024000151","20251024006277","2010-01-01","2011-11-22"
369,"D20251024000151","20251024007362","2010-01-01","2011-11-22"
370,"D20251024000152","20251024006277","2011-11-23","2013-01-16"
371,"D20251024000152","20251024007362","2011-11-23","2013-01-16"
372,"D20251024000153","20251024006277","2013-01-17","2017-05-26"
373,"D20251024000153","20251024007362","2013-01-17","2017-05-26"
374,"D20251024000154","20251024006277","2017-05-27","2018-12-18"
375,"D20251024000154","20251024007362","2017-05-27","2018-12-18"
376,"D20251024000155","20251024006277","2018-12-19","2020-10-09"
377,"D20251024000155","20251024007362","2018-12-19","2020-10-09"
378,"D20251024000156","20251024006277","2020-10-10","2021-11-04"
379,"D20251024000156","20251024007362","2020-10-10","2021-11-04"
380,"D20251024000157","20251024006277","2021-11-05",NULL
381,"D20251024000157","20251024007362","2021-11-05",NULL
382,"D20251024000158","20251024002127","2010-01-01","2014-01-10"
383,"D20251024000158","20251024007062","2010-01-01","2014-01-10"
384,"D20251024000159","20251024002127","2014-01-11","2017-06-24"
385,"D20251024000159","20251024007062","2014-01-11","2017-06-24"
386,"D20251024000160","20251024002127","2017-06-25","2019-09-13"
387,"D20251024000160","20251024007062","2017-06-25","2019-09-13"
388,"D20251024000161","20251024002127","2019-09-14","2021-02-05"
389,"D20251024000161","20251024007062","2019-09-14","2021-02-05"
390,"D20251024000162","20251024002127","2021-02-06","2024-03-22"
391,"D20251024000162","20251024007062","2021-02-06","2024-03-22"
392,"D20251024000163","20251024002127","2024-03-23",NULL
393,"D20251024000163","20251024007062","2024-03-23",NULL
394,"D20251024000164","20251024007406","2010-01-01","2014-01-10"
395,"D20251024000165","20251024007406","2014-01-11","2016-05-30"
396,"D20251024000166","20251024007406","2016-05-31","2019-06-15"
397,"D20251024000167","20251024007406","2019-06-16","2022-08-29"
398,"D20251024000168","20251024007406","2022-08-30",NULL
399,"D20251024000169","20251024006898","2019-05-30","2023-02-08"
400,"D20251024000169","20251024004191","2019-05-30","2023-02-08"
401,"D20251024000169","20251024002253","2019-05-30","2023-02-08"
402,"D20251024000169","20251024008608","2019-05-30","2023-02-08"
403,"D20251024000170","20251024006898","2023-02-09","2025-09-26"
404,"D20251024000170","20251024004191","2023-02-09","2025-09-26"
405,"D20251024000170","20251024002253","2023-02-09","2025-09-26"
406,"D20251024000170","20251024008608","2023-02-09","2025-09-26"
407,"D20251024000171","20251024006898","2025-09-27",NULL
408,"D20251024000171","20251024004191","2025-09-27",NULL
409,"D20251024000171","20251024002253","2025-09-27",NULL
410,"D20251024000171","20251024008608","2025-09-27",NULL
411,"D20251024000172","20251024009271","2010-01-01","2013-07-14"
412,"D20251024000172","20251024008922","2010-01-01","2013-07-14"
413,"D20251024000173","20251024009271","2013-07-15","2017-09-22"
414,"D20251024000173","20251024008922","2013-07-15","2017-09-22"
415,"D20251024000174","20251024009271","2017-09-23","2021-11-01"
416,"D20251024000174","20251024008922","2017-09-23","2021-11-01"
417,"D20251024000175","20251024009271","2021-11-02","2024-08-18"
418,"D20251024000175","20251024008922","2021-11-02","2024-08-18"
419,"D20251024000176","20251024009271","2024-08-19",NULL
420,"D20251024000176","20251024008922","2024-08-19",NULL
421,"D20251024000177","20251024004726","2010-01-01","2013-12-11"
422,"D20251024000178","20251024004726","2013-12-12","2015-02-05"
423,"D20251024000179","20251024004726","2015-02-06","2019-10-13"
424,"D20251024000180","20251024004726","2019-10-14","2022-01-31"
425,"D20251024000181","20251024004726","2022-02-01","2024-03-22"
426,"D20251024000182","20251024004726","2024-03-23","2025-06-16"
427,"D20251024000183","20251024004726","2025-06-17",NULL
428,"D20251024000184","20251024003258","2019-03-07","2022-10-17"
429,"D20251024000184","20251024002570","2019-03-07","2022-10-17"
430,"D20251024000185","20251024003258","2022-10-18",NULL
431,"D20251024000185","20251024002570","2022-10-18",NULL
432,"D20251024000186","20251024007926","2010-01-01","2010-12-27"
433,"D20251024000187","20251024007926","2010-12-28","2014-12-07"
434,"D20251024000188","20251024007926","2014-12-08","2019-05-16"
435,"D20251024000189","20251024007926","2019-05-17","2022-12-27"
436,"D20251024000190","20251024007926","2022-12-28",NULL
437,"D20251024000191","20251024002284","2010-01-01","2012-09-17"
438,"D20251024000191","20251024007488","2010-01-01","2012-09-17"
439,"D20251024000191","20251024001599","2010-01-01","2012-09-17"
440,"D20251024000191","20251024002853","2010-01-01","2012-09-17"
441,"D20251024000192","20251024002284","2012-09-18","2016-08-28"
442,"D20251024000192","20251024007488","2012-09-18","2016-08-28"
443,"D20251024000192","20251024001599","2012-09-18","2016-08-28"
444,"D20251024000192","20251024002853","2012-09-18","2016-08-28"
445,"D20251024000193","20251024002284","2016-08-29","2020-10-07"
446,"D20251024000193","20251024007488","2016-08-29","2020-10-07"
447,"D20251024000193","20251024001599","2016-08-29","2020-10-07"
448,"D20251024000193","20251024002853","2016-08-29","2020-10-07"
449,"D20251024000194","20251024002284","2020-10-08","2025-08-13"
450,"D20251024000194","20251024007488","2020-10-08","2025-08-13"
451,"D20251024000194","20251024001599","2020-10-08","2025-08-13"
452,"D20251024000194","20251024002853","2020-10-08","2025-08-13"
453,"D20251024000195","20251024002284","2025-08-14",NULL
454,"D20251024000195","20251024007488","2025-08-14","2025-10-24"
455,"D20251024000195","20251024001599","2025-08-14",NULL
456,"D20251024000195","20251024002853","2025-08-14",NULL
457,"D20251024000196","20251024003197","2010-01-01","2012-05-20"
458,"D20251024000197","20251024003197","2012-05-21","2015-04-06"
459,"D20251024000198","20251024003197","2015-04-07","2018-02-20"
