"id","numero_individu","permis","date_debut","date_fin"
78,"20251024000098","B","2013-03-30","2017-08-06"
79,"20251024000098","C","2017-08-07",NULL
80,"20251024000100","B","1970-12-14",NULL
81,"20251024000102","B","1999-11-15",NULL
82,"20251024000103","B","2001-12-13",NULL
83,"20251024000104","B","2011-03-12",NULL
84,"20251024000105","C","2021-03-20",NULL
85,"20251024000107","C","2017-08-03",NULL
86,"20251024000108","B","2011-04-04",NULL
87,"20251024000109","C","1997-12-02",NULL
88,"20251024000110","B","1953-02-20",NULL
89,"20251024000113","F","2005-02-16",NULL
90,"20251024000114","B","1959-01-07",NULL
91,"20251024000115","N","1985-01-14","1986-01-09"
92,"20251024000116","B","1979-11-28",NULL
93,"20251024000118","B","2015-12-17",NULL
94,"20251024000119","B","1998-09-11",NULL
95,"20251024000121","C","2023-12-12",NULL
96,"20251024000123","G","1960-05-09",NULL
97,"20251024000124","C","2021-09-02",NULL
98,"20251024000125","L","2017-06-27",NULL
99,"20251024000126","C","2022-04-10",NULL
100,"20251024000127","C","2016-04-09",NULL
101,"20251024000128","C","2018-12-29",NULL
102,"20251024000129","B","1967-08-07",NULL
103,"20251024000130","B","2023-01-26",NULL
104,"20251024000131","C","2016-04-12",NULL
105,"20251024000134","B","2004-08-04",NULL
106,"20251024000135","B","2021-12-23",NULL
107,"20251024000136","C","2010-06-10",NULL
108,"20251024000137","C","2019-05-25",NULL
109,"20251024000139","C","2007-03-10",NULL
110,"20251024000140","B","2008-10-10",NULL
111,"20251024000141","C","1999-09-29",NULL
112,"20251024000143","B","1996-05-11",NULL
113,"20251024000144","C","2021-09-11",NULL
114,"20251024000146","B","2022-05-18",NULL
115,"20251024000147","C","2004-09-11",NULL
116,"20251024000148","L","2010-12-05",NULL
117,"20251024000150","C","2023-11-03",NULL
118,"20251024000151","C","1941-07-04",NULL
119,"20251024000152","C","2016-07-11",NULL
120,"20251024000153","C","2017-02-23",NULL
121,"20251024000155","B","1999-06-01",NULL
122,"20251024000158","C","2021-08-03",NULL
123,"20251024000159","C","2001-05-15",NULL
124,"20251024000160","B","2023-08-19",NULL
125,"20251024000161","C","2022-12-06",NULL
126,"20251024000162","G","1984-08-24",NULL
127,"20251024000163","L","2019-06-09",NULL
128,"20251024000164","C","1990-02-02",NULL
129,"20251024000165","B","1991-01-02",NULL
130,"20251024000166","C","1985-07-24",NULL
131,"20251024000167","C","1989-08-08",NULL
132,"20251024000170","L","1996-01-27",NULL
133,"20251024000171","B","2001-07-04",NULL
134,"20251024000173","G","2007-07-06",NULL
135,"20251024000175","B","2015-12-18",NULL
136,"20251024000176","C","2015-05-23",NULL
137,"20251024000177","L","1974-06-29",NULL
138,"20251024000178","B","2014-09-21",NULL
139,"20251024000179","B","1977-09-01",NULL
140,"20251024000180","B","1952-04-18",NULL
141,"20251024000181","B","2003-12-06",NULL
142,"20251024000182","C","2019-05-04",NULL
143,"20251024000184","F","1968-06-21",NULL
144,"20251024000186","L","1998-09-12",NULL
145,"20251024000188","C","2009-08-15",NULL
146,"20251024000189","B","2015-04-10","2020-03-14"
147,"20251024000190","B","1999-03-17",NULL
148,"20251024000191","L","2023-12-24",NULL
149,"20251024000193","B","2010-03-20","2014-11-24"
150,"20251024000196","F","2023-08-09",NULL
151,"20251024000197","N","1984-06-13",NULL
152,"20251024000198","B","2002-02-19",NULL
153,"20251024000199","C","1969-06-01",NULL
154,"20251024000200","B","2020-05-29",NULL
155,"20251024000201","S","2014-07-17",NULL
156,"20251024000202","G","2021-06-07",NULL
157,"20251024000203","N","2023-10-17",NULL
158,"20251024000204","B","1967-03-28",NULL
159,"20251024000206","B","1994-09-20",NULL
160,"20251024000207","C","2009-03-08",NULL
161,"20251024000209","L","2022-12-02",NULL
162,"20251024000210","B","2010-10-12",NULL
163,"20251024000211","S","2018-11-06",NULL
164,"20251024000212","C","2002-12-10",NULL
165,"20251024000214","G","1988-10-02",NULL
166,"20251024000216","C","2014-10-09",NULL
167,"20251024000217","L","2021-01-15",NULL
168,"20251024000218","G","2023-06-29",NULL
169,"20251024000221","B","2021-11-10",NULL
170,"20251024000222","G","2012-09-14",NULL
171,"20251024000223","L","1981-04-20",NULL
172,"20251024000224","B","2008-12-21",NULL
173,"20251024000225","L","2013-04-16",NULL
174,"20251024000228","F","2011-11-20",NULL
175,"20251024000230","F","2015-09-30",NULL
176,"20251024000231","C","2024-03-09",NULL
177,"20251024000232","B","1982-11-28",NULL
178,"20251024000233","C","1994-01-19",NULL
179,"20251024000234","B","2019-11-17",NULL
180,"20251024000235","C","1994-09-21",NULL
181,"20251024000237","B","1999-03-30",NULL
182,"20251024000238","C","2001-08-30",NULL
183,"20251024000239","C","2021-08-29",NULL
184,"20251024000240","C","2020-03-30",NULL
185,"20251024000242","B","2001-03-12",NULL
186,"20251024000243","B","2004-04-14",NULL
187,"20251024000244","C","2024-04-29",NULL
188,"20251024000245","B","2024-06-17",NULL
189,"20251024000246","G","2024-03-06",NULL
190,"20251024000247","B","2017-03-27",NULL
191,"20251024000248","B","1947-11-03",NULL
192,"20251024000250","B","2006-09-24",NULL
193,"20251024000251","B","2021-01-22",NULL
194,"20251024000252","B","2014-07-28",NULL
195,"20251024000253","G","2006-11-26",NULL
196,"20251024000254","G","1990-02-05",NULL
197,"20251024000255","B","2024-02-25",NULL
198,"20251024000256","B","2014-11-13",NULL
199,"20251024000260","C","2012-09-02",NULL
200,"20251024000261","C","2013-10-22",NULL
201,"20251024000262","B","1986-12-30","1991-01-08"
202,"20251024000263","B","2024-09-08",NULL
203,"20251024000264","G","1957-09-28","1958-09-23"
204,"20251024000265","B","2022-06-14",NULL
205,"20251024000266","C","2018-12-22",NULL
206,"20251024000267","C","2021-10-26",NULL
207,"20251024000268","C","2011-05-26",NULL
208,"20251024000269","B","1982-08-10",NULL
209,"20251024000270","N","2023-12-19",NULL
210,"20251024000271","C","2020-09-27",NULL
211,"20251024000272","C","2023-07-12",NULL
212,"20251024000273","L","2017-07-27",NULL
213,"20251024000274","C","2011-09-27",NULL
214,"20251024000275","B","2020-05-23",NULL
215,"20251024000276","C","1954-08-24",NULL
216,"20251024000277","B","2019-02-25",NULL
217,"20251024000280","S","2017-05-27",NULL
218,"20251024000281","C","1995-12-16",NULL
219,"20251024000282","S","2015-12-14","2018-03-03"
220,"20251024000282","C","2018-03-04",NULL
221,"20251024000283","B","1986-10-18",NULL
222,"20251024000285","B","1980-11-22",NULL
223,"20251024000286","B","2023-10-31",NULL
224,"20251024000287","C","2013-10-03",NULL
225,"20251024000288","B","1978-05-16",NULL
226,"20251024000289","B","2018-04-15",NULL
227,"20251024000290","G","2017-08-15",NULL
228,"20251024000291","C","2012-07-06",NULL
229,"20251024000294","C","2015-03-19",NULL
230,"20251024000295","G","2023-10-17",NULL
231,"20251024000296","N","1948-07-02",NULL
232,"20251024000299","F","2013-06-26",NULL
233,"20251024000300","B","1978-04-12",NULL
234,"20251024000301","C","2017-04-12",NULL
235,"20251024000302","B","2003-11-06",NULL
236,"20251024000303","C","2007-07-08",NULL
237,"20251024000304","B","2019-07-09",NULL
238,"20251024000305","F","2024-07-14",NULL
239,"20251024000308","C","2018-07-01",NULL
240,"20251024000309","B","1998-04-27",NULL
241,"20251024000310","N","1995-03-06",NULL
242,"20251024000311","G","2023-03-05",NULL
243,"20251024000312","L","2017-04-29",NULL
244,"20251024000313","C","2018-10-17",NULL
245,"20251024000314","C","2018-10-23",NULL
246,"20251024000315","L","1959-06-18",NULL
247,"20251024000316","C","2018-02-13",NULL
248,"20251024000317","S","2012-10-26",NULL
249,"20251024000318","C","2015-01-22",NULL
250,"20251024000321","L","2023-11-29",NULL
251,"20251024000322","G","2012-05-05",NULL
252,"20251024000324","N","1966-01-25",NULL
253,"20251024000325","L","2014-02-04",NULL
254,"20251024000327","B","2003-02-19",NULL
255,"20251024000328","B","2003-09-18",NULL
256,"20251024000329","B","1979-02-10",NULL
257,"20251024000331","C","2004-08-08",NULL
258,"20251024000332","B","2014-09-21",NULL
259,"20251024000333","B","1968-06-12",NULL
260,"20251024000337","B","1958-03-10",NULL
261,"20251024000338","S","1956-04-20",NULL
262,"20251024000339","B","1988-04-19",NULL
263,"20251024000340","B","2017-03-06",NULL
264,"20251024000341","S","1994-10-03",NULL
265,"20251024000342","C","2019-07-20",NULL
266,"20251024000343","C","2018-12-09",NULL
267,"20251024000344","C","2004-01-17",NULL
268,"20251024000345","B","1970-04-06",NULL
269,"20251024000347","S","2023-10-30",NULL
270,"20251024000348","B","1969-12-28",NULL
271,"20251024000349","B","1978-03-14",NULL
272,"20251024000351","L","1981-08-14",NULL
273,"20251024000352","C","2014-06-10",NULL
274,"20251024000353","B","1983-02-10",NULL
275,"20251024000354","B","1968-04-01",NULL
276,"20251024000355","G","2000-11-28",NULL
277,"20251024000360","F","2002-11-05",NULL
278,"20251024000362","C","1985-04-03",NULL
279,"20251024000363","G","1967-11-18",NULL
280,"20251024000364","C","2003-01-26",NULL
281,"20251024000365","N","1986-05-03",NULL
282,"20251024000367","G","1987-04-04","1988-03-29"
283,"20251024000368","C","1982-04-09",NULL
284,"20251024000369","S","1997-05-18",NULL
285,"20251024000370","C","2021-02-12",NULL
286,"20251024000372","G","1998-01-02",NULL
287,"20251024000373","C","1965-05-28",NULL
288,"20251024000374","N","2021-01-19",NULL
289,"20251024000375","L","2008-11-16",NULL
290,"20251024000376","C","1991-10-27",NULL
291,"20251024000377","B","2023-12-18",NULL
292,"20251024000378","B","1989-09-05",NULL
293,"20251024000379","C","2006-10-22",NULL
294,"20251024000380","C","1966-01-01",NULL
295,"20251024000381","B","2014-09-25",NULL
296,"20251024000382","C","2003-10-07",NULL
297,"20251024000383","C","2008-04-13",NULL
298,"20251024000384","B","1968-11-16",NULL
299,"20251024000385","C","1963-10-09",NULL
300,"20251024000386","B","2024-09-29",NULL
301,"20251024000388","B","2020-11-23",NULL
302,"20251024000389","L","2020-02-16",NULL
303,"20251024000390","B","2022-02-12",NULL
304,"20251024000391","C","1992-11-04",NULL
305,"20251024000392","C","2011-03-31",NULL
306,"20251024000393","C","2024-06-21",NULL
307,"20251024000395","B","1991-07-01",NULL
308,"20251024000396","L","1993-06-04",NULL
309,"20251024000397","C","2019-01-13",NULL
310,"20251024000398","N","1979-12-06",NULL
311,"20251024000399","B","2024-01-31",NULL
312,"20251024000400","G","2003-11-15",NULL
313,"20251024000401","C","2024-12-04",NULL
314,"20251024000402","C","1982-09-29",NULL
315,"20251024000404","B","2022-07-06",NULL
316,"20251024000405","C","2016-04-11",NULL
317,"20251024000406","G","2006-01-16",NULL
318,"20251024000407","F","2011-11-22",NULL
319,"20251024000409","G","1962-03-05",NULL
320,"20251024000410","B","1971-06-19",NULL
321,"20251024000411","B","2001-06-08",NULL
322,"20251024000412","B","1974-01-04",NULL
323,"20251024000413","B","2024-03-01",NULL
324,"20251024000414","C","2015-06-27",NULL
325,"20251024000415","B","2009-09-30",NULL
326,"20251024000417","F","1950-03-22",NULL
327,"20251024000418","B","2021-05-04",NULL
328,"20251024000419","G","1973-05-26",NULL
329,"20251024000422","B","2013-08-17",NULL
330,"20251024000423","C","1992-11-07",NULL
331,"20251024000424","B","1953-04-29",NULL
332,"20251024000425","C","1989-07-17",NULL
333,"20251024000427","C","1978-01-17",NULL
334,"20251024000429","B","1982-05-16",NULL
335,"20251024000430","B","2024-10-25",NULL
336,"20251024000432","B","2024-12-27",NULL
337,"20251024000434","G","2024-10-18",NULL
338,"20251024000435","B","1977-04-29",NULL
339,"20251024000436","B","2017-10-03",NULL
340,"20251024000438","C","2024-01-11",NULL
341,"20251024000439","S","1993-06-30","1996-07-14"
342,"20251024000439","C","1996-07-15",NULL
343,"20251024000440","B","2021-10-13",NULL
344,"20251024000442","C","1987-01-18",NULL
345,"20251024000443","C","2012-09-24",NULL
346,"20251024000444","S","2012-04-21","2015-03-07"
347,"20251024000444","B","2015-03-08",NULL
348,"20251024000445","B","2004-08-01",NULL
349,"20251024000447","B","1991-07-23",NULL
350,"20251024000449","C","1952-06-08",NULL
351,"20251024000450","F","2023-08-19",NULL
352,"20251024000451","B","2015-07-06",NULL
353,"20251024000453","C","1975-06-19",NULL
354,"20251024000454","B","2005-03-28",NULL
355,"20251024000457","B","2015-10-27",NULL
356,"20251024000458","B","2008-11-26",NULL
357,"20251024000460","B","2013-09-24",NULL
358,"20251024000461","B","2013-07-22",NULL
359,"20251024000462","G","2022-02-16",NULL
360,"20251024000464","B","1976-11-04",NULL
361,"20251024000465","S","2022-07-15",NULL
362,"20251024000466","B","2008-04-10",NULL
363,"20251024000467","B","1993-08-12",NULL
364,"20251024000469","F","2019-12-08",NULL
365,"20251024000471","C","2024-07-18",NULL
366,"20251024000472","B","1994-04-16",NULL
367,"20251024000475","B","1995-10-03",NULL
368,"20251024000476","B","2024-10-07",NULL
369,"20251024000477","G","2023-06-15",NULL
370,"20251024000478","C","2016-11-04",NULL
371,"20251024000479","B","1954-05-06",NULL
372,"20251024000480","B","1975-07-05",NULL
373,"20251024000482","G","1992-11-21",NULL
374,"20251024000483","G","2024-08-01",NULL
375,"20251024000484","F","2024-08-17",NULL
376,"20251024000485","B","2013-01-17",NULL
377,"20251024000486","B","2006-05-06","2010-04-15"
378,"20251024000486","C","2010-04-16",NULL
379,"20251024000488","C","2019-09-23",NULL
380,"20251024000489","C","2023-07-20",NULL
381,"20251024000491","B","1994-05-09",NULL
382,"20251024000496","C","2013-11-15",NULL
383,"20251024000497","B","2012-03-04",NULL
384,"20251024000498","C","2013-06-19",NULL
385,"20251024000499","C","2011-02-14",NULL
386,"20251024000503","C","2019-03-26",NULL
387,"20251024000504","S","1962-03-04",NULL
388,"20251024000506","C","1960-11-15",NULL
389,"20251024000507","G","2011-01-25","2012-01-20"
390,"20251024000508","C","2020-06-23",NULL
391,"20251024000509","G","2023-12-30",NULL
392,"20251024000510","G","2016-11-10",NULL
393,"20251024000512","B","2001-03-22",NULL
394,"20251024000513","B","1966-03-19",NULL
395,"20251024000514","S","1986-10-10",NULL
396,"20251024000515","B","1995-12-11",NULL
397,"20251024000519","L","2010-03-05",NULL
398,"20251024000521","C","1968-01-14",NULL
399,"20251024000522","C","2022-05-04",NULL
400,"20251024000523","B","2008-04-25",NULL
401,"20251024000524","C","2010-12-02",NULL
402,"20251024000527","B","2005-12-24",NULL
403,"20251024000528","B","2006-12-30",NULL
404,"20251024000529","B","2007-04-06",NULL
405,"20251024000530","C","2003-06-27",NULL
406,"20251024000531","B","1977-05-19",NULL
407,"20251024000532","B","2024-12-05",NULL
408,"20251024000533","B","2021-06-07",NULL
409,"20251024000534","L","1957-08-11",NULL
410,"20251024000535","C","2023-08-23",NULL
411,"20251024000538","N","1998-06-28",NULL
412,"20251024000539","G","2019-04-07",NULL
413,"20251024000540","B","1949-02-04",NULL
414,"20251024000543","B","2008-01-26",NULL
415,"20251024000544","S","1957-11-26","1960-09-11"
416,"20251024000544","C","1960-09-12",NULL
417,"20251024000545","L","2006-10-04",NULL
418,"20251024000546","C","2014-11-16",NULL
419,"20251024000548","B","1992-01-01",NULL
420,"20251024000550","C","2012-09-23",NULL
421,"20251024000551","B","2018-02-15",NULL
422,"20251024000552","C","2004-02-02",NULL
423,"20251024000553","C","1982-01-22",NULL
424,"20251024000554","C","1974-11-25",NULL
425,"20251024000555","B","1990-10-13",NULL
426,"20251024000556","B","2024-08-15",NULL
427,"20251024000557","G","1978-07-13",NULL
428,"20251024000559","B","2023-05-05",NULL
429,"20251024000561","C","2007-12-02",NULL
430,"20251024000563","B","2024-11-22",NULL
431,"20251024000564","B","1995-02-16","1999-07-25"
432,"20251024000564","C","1999-07-26",NULL
433,"20251024000565","C","2018-12-06",NULL
434,"20251024000566","B","2024-12-26",NULL
435,"20251024000567","B","1992-06-14",NULL
436,"20251024000568","G","2016-09-09",NULL
437,"20251024000569","L","2018-03-10",NULL
438,"20251024000570","B","2014-08-11",NULL
439,"20251024000571","C","1980-06-16",NULL
440,"20251024000572","N","2020-09-30",NULL
441,"20251024000574","B","2012-05-14",NULL
442,"20251024000577","B","2022-05-21",NULL
443,"20251024000579","B","1997-02-21",NULL
444,"20251024000580","B","1956-04-28",NULL
445,"20251024000581","L","1980-03-04",NULL
446,"20251024000582","L","2023-03-15",NULL
447,"20251024000583","B","2021-12-22",NULL
448,"20251024000584","G","1982-04-14",NULL
449,"20251024000585","S","2010-05-13",NULL
450,"20251024000586","L","1983-04-13",NULL
451,"20251024000587","L","1999-12-03",NULL
452,"20251024000588","B","2011-02-12",NULL
453,"20251024000590","B","2006-10-19",NULL
454,"20251024000591","N","2017-04-02",NULL
455,"20251024000592","B","2018-08-23",NULL
456,"20251024000593","G","1987-07-05",NULL
457,"20251024000594","B","2005-06-18",NULL
458,"20251024000596","C","2019-10-05",NULL
459,"20251024000598","B","1988-09-13",NULL
460,"20251024000599","B","1991-10-18",NULL
461,"20251024000600","L","1975-12-16",NULL
462,"20251024000601","B","1996-03-10",NULL
463,"20251024000602","C","2006-05-05",NULL
464,"20251024000603","B","1951-02-09",NULL
465,"20251024000604","L","2011-11-27",NULL
466,"20251024000605","B","2021-10-16",NULL
467,"20251024000606","C","2021-10-18",NULL
468,"20251024000608","B","1989-09-05",NULL
469,"20251024000609","L","2015-02-04",NULL
470,"20251024000611","B","2023-01-31",NULL
471,"20251024000612","B","2022-12-16",NULL
472,"20251024000613","C","2019-10-06",NULL
473,"20251024000614","G","2024-08-04",NULL
474,"20251024000615","C","2024-07-13",NULL
475,"20251024000616","B","1944-04-04",NULL
476,"20251024000620","C","1977-03-08",NULL
477,"20251024000621","B","1997-06-04",NULL
478,"20251024000622","G","1965-05-17",NULL
479,"20251024000623","B","2024-11-19",NULL
480,"20251024000624","C","2023-12-06",NULL
481,"20251024000625","C","1994-12-22",NULL
482,"20251024000626","C","2003-02-28",NULL
483,"20251024000627","B","2002-02-06",NULL
484,"20251024000629","B","2023-05-11",NULL
485,"20251024000631","C","2015-06-09",NULL
486,"20251024000632","C","2012-06-19",NULL
487,"20251024000633","L","1975-11-29",NULL
488,"20251024000634","G","2024-12-15",NULL
489,"20251024000636","C","1950-12-06",NULL
490,"20251024000638","C","2010-06-05",NULL
491,"20251024000639","B","1996-09-30",NULL
492,"20251024000640","C","2020-11-29",NULL
493,"20251024000641","B","2023-05-30",NULL
494,"20251024000642","F","1980-07-27",NULL
495,"20251024000643","G","2014-03-25","2015-03-20"
496,"20251024000643","B","2015-03-21",NULL
497,"20251024000644","C","2010-09-11",NULL
498,"20251024000645","B","2016-09-03",NULL
499,"20251024000646","C","2012-08-12",NULL
500,"20251024000647","G","1976-05-17",NULL
501,"20251024000648","B","2014-08-12",NULL
502,"20251024000649","L","2001-12-15",NULL
503,"20251024000651","B","1950-08-06",NULL
504,"20251024000654","G","2008-02-06",NULL
505,"20251024000655","B","2011-02-20",NULL
506,"20251024000658","B","1972-12-24",NULL
507,"20251024000659","C","2021-08-01",NULL
508,"20251024000660","C","2013-05-25",NULL
509,"20251024000661","B","1995-10-19",NULL
510,"20251024000662","B","2016-04-28",NULL
511,"20251024000663","C","1999-11-03",NULL
512,"20251024000664","B","2024-05-08",NULL
513,"20251024000668","B","2002-05-20",NULL
514,"20251024000669","B","2018-01-22",NULL
515,"20251024000672","C","1988-09-15",NULL
516,"20251024000673","S","2024-11-15",NULL
517,"20251024000674","F","2014-07-08",NULL
518,"20251024000676","F","2003-04-26",NULL
519,"20251024000677","B","2011-03-05",NULL
520,"20251024000678","C","2016-07-12",NULL
521,"20251024000679","C","1970-10-04",NULL
522,"20251024000680","B","2003-06-07",NULL
523,"20251024000681","F","2013-01-02",NULL
524,"20251024000682","B","1970-01-29",NULL
525,"20251024000683","G","2022-05-30",NULL
526,"20251024000684","C","1994-06-29",NULL
527,"20251024000685","S","2013-04-07",NULL
528,"20251024000686","L","1989-12-28",NULL
529,"20251024000687","S","1984-09-29",NULL
530,"20251024000690","G","1995-01-16",NULL
531,"20251024000691","C","2023-09-07",NULL
532,"20251024000692","C","1991-04-03",NULL
533,"20251024000693","B","2024-08-27",NULL
534,"20251024000695","L","1988-04-27",NULL
535,"20251024000698","B","1969-03-06",NULL
536,"20251024000699","G","2019-01-19",NULL
537,"20251024000700","B","2007-02-22",NULL
538,"20251024000701","B","2013-11-24",NULL
539,"20251024000702","C","1986-09-16",NULL
540,"20251024000703","B","2010-06-01",NULL
541,"20251024000704","B","1975-04-22",NULL
542,"20251024000705","C","1972-05-28",NULL
543,"20251024000706","C","2004-02-20",NULL
544,"20251024000708","B","2022-07-18",NULL
545,"20251024000709","C","2013-07-31",NULL
546,"20251024000710","B","1983-03-14",NULL
547,"20251024000711","S","2010-12-06",NULL
548,"20251024000712","G","2001-06-27",NULL
549,"20251024000713","B","1993-03-25",NULL
550,"20251024000714","C","2021-09-24",NULL
551,"20251024000715","B","1958-11-26","1963-01-04"
552,"20251024000715","C","1963-01-05",NULL
553,"20251024000716","C","1998-10-29",NULL
554,"20251024000717","L","2001-11-09",NULL
555,"20251024000718","C","2024-12-14",NULL
556,"20251024000720","S","2017-09-29",NULL
557,"20251024000721","C","1994-03-08",NULL
558,"20251024000722","S","1940-12-25",NULL
559,"20251024000724","C","1964-04-08",NULL
560,"20251024000725","B","2010-02-26",NULL
561,"20251024000726","B","2006-01-08",NULL
562,"20251024000727","C","2023-08-29",NULL
563,"20251024000728","B","2016-10-12",NULL
564,"20251024000729","G","1996-11-04",NULL
565,"20251024000731","C","2010-01-01",NULL
566,"20251024000732","S","2000-02-16",NULL
567,"20251024000733","L","2021-07-15",NULL
568,"20251024000734","B","2007-05-25",NULL
569,"20251024000735","B","1991-01-25","1995-02-03"
570,"20251024000735","C","1995-02-04",NULL
571,"20251024000736","C","1994-12-05",NULL
572,"20251024000737","G","2024-01-06",NULL
573,"20251024000738","L","1992-06-13",NULL
574,"20251024000739","C","2019-09-14",NULL
575,"20251024000740","C","1976-11-11",NULL
576,"20251024000742","C","2012-11-25",NULL
577,"20251024000746","L","2024-03-17",NULL
578,"20251024000748","C","1971-04-17",NULL
579,"20251024000749","B","1973-03-17",NULL
580,"20251024000750","B","1965-12-17",NULL
581,"20251024000751","B","1969-01-22",NULL
582,"20251024000754","L","2016-06-22",NULL
583,"20251024000755","C","1993-07-03",NULL
584,"20251024000756","C","2012-10-18",NULL
585,"20251024000758","C","1998-06-22",NULL
586,"20251024000761","C","1998-06-13",NULL
587,"20251024000762","B","2007-10-02",NULL
588,"20251024000764","C","1984-06-05",NULL
589,"20251024000765","L","2023-01-22",NULL
590,"20251024000766","C","1988-01-06",NULL
591,"20251024000767","C","2004-09-29",NULL
592,"20251024000768","G","1977-03-10",NULL
593,"20251024000769","C","1961-04-23",NULL
594,"20251024000770","B","1994-07-15",NULL
595,"20251024000771","C","2011-09-27",NULL
596,"20251024000772","C","1981-05-04",NULL
597,"20251024000773","G","1995-03-10",NULL
598,"20251024000775","B","2022-06-08",NULL
599,"20251024000776","C","1989-09-18",NULL
600,"20251024000777","B","1974-03-16",NULL
601,"20251024000779","B","2001-11-03",NULL
602,"20251024000781","B","2013-11-23",NULL
603,"20251024000783","B","1979-09-19","1983-08-29"
604,"20251024000783","C","1983-08-30",NULL
605,"20251024000784","B","2009-01-23",NULL
606,"20251024000785","C","1962-01-31",NULL
607,"20251024000786","C","2020-01-30",NULL
608,"20251024000787","C","1970-02-28",NULL
609,"20251024000788","C","2012-11-29",NULL
610,"20251024000789","B","1964-01-11",NULL
611,"20251024000790","C","1969-06-02",NULL
612,"20251024000791","L","1968-11-28",NULL
613,"20251024000792","C","1972-05-25",NULL
614,"20251024000793","B","2024-10-06",NULL
615,"20251024000794","C","1997-11-27",NULL
616,"20251024000795","C","2022-04-21",NULL
617,"20251024000796","B","2007-03-09",NULL
618,"20251024000797","B","1990-06-22",NULL
619,"20251024000798","G","2011-10-29",NULL
620,"20251024000799","B","2003-06-23",NULL
621,"20251024000800","C","1971-10-03",NULL
622,"20251024000802","B","2018-11-19",NULL
623,"20251024000803","B","2002-09-22",NULL
624,"20251024000805","C","2023-01-15",NULL
625,"20251024000806","B","2022-03-01",NULL
626,"20251024000807","L","1974-09-11",NULL
627,"20251024000808","B","2009-10-01",NULL
628,"20251024000809","C","1978-03-02",NULL
629,"20251024000810","C","2019-12-17",NULL
